frame,track_id,class,x1,y1,x2,y2,confidence
7,7,player,733.0,544.0,747.0,573.0,0.828
7,1,player,673.0,695.0,688.0,732.0,0.824
7,12,player,601.0,605.0,624.0,637.0,0.824
7,8,player,1086.0,702.0,1100.0,737.0,0.812
7,9,player,850.0,500.0,862.0,524.0,0.797
7,15,player,1041.0,503.0,1054.0,531.0,0.767
7,17,player,915.0,782.0,933.0,812.0,0.767
7,11,player,1087.0,543.0,1099.0,574.0,0.758
7,14,player,907.0,651.0,928.0,681.0,0.696
7,16,player,938.0,546.0,950.0,572.0,0.526
8,3,player,1268.0,568.0,1281.0,600.0,0.894
8,5,player,638.0,602.0,653.0,634.0,0.845
8,17,player,912.0,781.0,931.0,813.0,0.841
8,4,player,531.0,672.0,544.0,706.0,0.837
8,1,player,672.0,695.0,688.0,732.0,0.828
8,6,player,585.0,546.0,597.0,575.0,0.828
8,12,player,601.0,605.0,625.0,637.0,0.826
8,8,player,1085.0,702.0,1100.0,738.0,0.816
8,7,player,733.0,544.0,746.0,573.0,0.802
8,2,player,1092.0,614.0,1110.0,644.0,0.791
8,15,player,1040.0,504.0,1054.0,531.0,0.771
8,9,player,850.0,501.0,862.0,524.0,0.767
8,11,player,1087.0,544.0,1099.0,575.0,0.741
8,18,player,938.0,495.0,950.0,524.0,0.715
8,14,player,908.0,653.0,925.0,685.0,0.599
9,3,player,1267.0,568.0,1280.0,600.0,0.896
9,12,player,600.0,606.0,626.0,638.0,0.853
9,5,player,637.0,602.0,652.0,634.0,0.838
9,4,player,531.0,672.0,544.0,706.0,0.828
9,1,player,672.0,695.0,688.0,732.0,0.82
9,8,player,1085.0,702.0,1100.0,738.0,0.815
9,7,player,733.0,544.0,746.0,574.0,0.813
9,6,player,585.0,546.0,597.0,576.0,0.809
9,2,player,1092.0,613.0,1108.0,644.0,0.781
9,9,player,850.0,500.0,862.0,524.0,0.776
9,17,player,911.0,782.0,927.0,813.0,0.767
9,15,player,1040.0,503.0,1052.0,531.0,0.76
9,14,player,904.0,652.0,919.0,684.0,0.734
9,18,player,939.0,495.0,951.0,524.0,0.709
9,11,player,1088.0,544.0,1099.0,573.0,0.671
10,3,player,1267.0,569.0,1280.0,600.0,0.899
10,12,player,600.0,606.0,626.0,638.0,0.849
10,5,player,637.0,603.0,652.0,635.0,0.83
10,4,player,530.0,672.0,544.0,706.0,0.827
10,8,player,1085.0,702.0,1099.0,738.0,0.819
10,7,player,734.0,544.0,747.0,574.0,0.817
10,1,player,672.0,695.0,688.0,732.0,0.816
10,6,player,585.0,546.0,597.0,576.0,0.798
10,14,player,903.0,651.0,918.0,683.0,0.79
10,9,player,850.0,500.0,861.0,524.0,0.771
10,2,player,1092.0,613.0,1107.0,645.0,0.771
10,15,player,1040.0,503.0,1053.0,531.0,0.749
10,19,player,1710.0,545.0,1727.0,572.0,0.732
10,18,player,939.0,495.0,951.0,523.0,0.73
10,17,player,908.0,782.0,927.0,813.0,0.699
10,11,player,1087.0,544.0,1099.0,573.0,0.693
11,3,player,1267.0,569.0,1280.0,600.0,0.898
11,4,player,529.0,673.0,544.0,707.0,0.837
11,12,player,601.0,606.0,626.0,638.0,0.833
11,7,player,734.0,545.0,747.0,574.0,0.818
11,8,player,1086.0,703.0,1098.0,738.0,0.815
11,5,player,638.0,603.0,652.0,635.0,0.808
11,1,player,672.0,695.0,687.0,732.0,0.802
11,6,player,585.0,546.0,597.0,576.0,0.798
11,9,player,850.0,500.0,861.0,524.0,0.766
11,15,player,1040.0,504.0,1051.0,532.0,0.744
11,11,player,1087.0,544.0,1099.0,572.0,0.73
11,18,player,938.0,495.0,951.0,523.0,0.706
11,19,player,1711.0,545.0,1727.0,572.0,0.699
11,14,player,898.0,653.0,917.0,681.0,0.698
11,2,player,1092.0,614.0,1106.0,645.0,0.576
11,17,player,904.0,784.0,926.0,812.0,0.56
12,3,player,1267.0,569.0,1279.0,600.0,0.893
12,4,player,529.0,673.0,544.0,708.0,0.844
12,7,player,734.0,545.0,747.0,575.0,0.833
12,8,player,1084.0,704.0,1098.0,738.0,0.826
12,12,player,601.0,606.0,626.0,638.0,0.82
12,6,player,585.0,546.0,598.0,576.0,0.803
12,1,player,672.0,695.0,686.0,732.0,0.776
12,5,player,637.0,604.0,651.0,635.0,0.766
12,14,player,895.0,652.0,916.0,679.0,0.764
12,9,player,850.0,499.0,861.0,524.0,0.763
12,15,player,1040.0,504.0,1051.0,533.0,0.755
12,19,player,1711.0,543.0,1726.0,572.0,0.748
12,18,player,938.0,495.0,951.0,523.0,0.71
12,11,player,1087.0,544.0,1099.0,571.0,0.655
12,17,player,900.0,784.0,925.0,813.0,0.525
13,3,player,1267.0,569.0,1279.0,600.0,0.89
13,4,player,527.0,673.0,544.0,708.0,0.843
13,8,player,1083.0,703.0,1097.0,739.0,0.833
13,7,player,734.0,545.0,747.0,575.0,0.831
13,12,player,602.0,606.0,626.0,638.0,0.82
13,6,player,585.0,547.0,599.0,576.0,0.819
13,17,player,896.0,782.0,921.0,814.0,0.81
13,15,player,1040.0,506.0,1051.0,533.0,0.796
13,9,player,850.0,498.0,863.0,523.0,0.774
13,1,player,672.0,695.0,686.0,732.0,0.77
13,18,player,938.0,497.0,954.0,525.0,0.762
13,19,player,1711.0,543.0,1726.0,572.0,0.704
13,5,player,637.0,604.0,651.0,635.0,0.7
13,14,player,890.0,653.0,914.0,678.0,0.69
13,11,player,1088.0,544.0,1098.0,568.0,0.662
13,16,player,934.0,545.0,947.0,572.0,0.622
13,2,player,1091.0,612.0,1102.0,646.0,0.619
14,3,player,1267.0,569.0,1279.0,599.0,0.885
14,7,player,734.0,545.0,747.0,575.0,0.844
14,8,player,1082.0,703.0,1097.0,738.0,0.838
14,4,player,527.0,674.0,544.0,708.0,0.836
14,6,player,584.0,548.0,599.0,576.0,0.832
14,20,referee,1397.0,394.0,1410.0,422.0,0.815
14,12,player,603.0,606.0,626.0,638.0,0.814
14,15,player,1039.0,507.0,1050.0,535.0,0.795
14,17,player,891.0,782.0,919.0,814.0,0.762
14,9,player,850.0,498.0,863.0,523.0,0.755
14,14,player,887.0,652.0,912.0,680.0,0.755
14,1,player,672.0,695.0,686.0,732.0,0.752
14,2,player,1090.0,613.0,1101.0,647.0,0.749
14,19,player,1711.0,540.0,1725.0,571.0,0.746
14,18,player,937.0,497.0,954.0,526.0,0.706
14,16,player,934.0,545.0,945.0,571.0,0.66
14,5,player,636.0,604.0,650.0,635.0,0.611
14,11,player,1088.0,544.0,1098.0,568.0,0.611
15,3,player,1267.0,569.0,1279.0,600.0,0.883
15,7,player,734.0,545.0,747.0,575.0,0.842
15,6,player,585.0,548.0,599.0,576.0,0.84
15,4,player,527.0,675.0,544.0,709.0,0.828
15,8,player,1082.0,704.0,1097.0,738.0,0.824
15,14,player,885.0,652.0,904.0,681.0,0.819
15,12,player,603.0,605.0,627.0,638.0,0.814
15,20,referee,1397.0,395.0,1410.0,422.0,0.806
15,15,player,1039.0,507.0,1050.0,535.0,0.793
15,2,player,1090.0,613.0,1100.0,647.0,0.79
15,17,player,888.0,783.0,914.0,814.0,0.768
15,1,player,672.0,696.0,686.0,732.0,0.758
15,19,player,1711.0,540.0,1725.0,571.0,0.724
15,18,player,937.0,497.0,956.0,527.0,0.675
15,9,player,851.0,497.0,863.0,523.0,0.67
15,16,player,934.0,545.0,945.0,570.0,0.611
15,5,player,636.0,604.0,650.0,635.0,0.576
15,11,player,1087.0,545.0,1098.0,570.0,0.531
16,3,player,1267.0,569.0,1279.0,601.0,0.882
16,14,player,883.0,652.0,902.0,681.0,0.842
16,6,player,585.0,547.0,600.0,577.0,0.832
16,8,player,1081.0,705.0,1097.0,738.0,0.831
16,7,player,734.0,546.0,747.0,575.0,0.83
16,12,player,603.0,605.0,627.0,638.0,0.822
16,20,referee,1399.0,391.0,1413.0,421.0,0.82
16,17,player,883.0,783.0,907.0,814.0,0.816
16,4,player,527.0,676.0,544.0,709.0,0.814
16,15,player,1039.0,507.0,1049.0,535.0,0.799
16,2,player,1088.0,615.0,1100.0,647.0,0.798
16,1,player,672.0,696.0,686.0,733.0,0.732
16,19,player,1711.0,540.0,1724.0,571.0,0.726
16,16,player,933.0,545.0,944.0,570.0,0.72
16,5,player,635.0,605.0,650.0,636.0,0.58
16,18,player,940.0,501.0,957.0,527.0,0.541
17,3,player,1267.0,570.0,1279.0,601.0,0.889
17,8,player,1080.0,704.0,1096.0,738.0,0.844
17,14,player,879.0,652.0,897.0,680.0,0.841
17,4,player,526.0,677.0,544.0,709.0,0.829
17,7,player,735.0,546.0,747.0,576.0,0.827
17,12,player,603.0,605.0,627.0,638.0,0.824
17,2,player,1086.0,613.0,1099.0,647.0,0.816
17,15,player,1038.0,507.0,1049.0,535.0,0.806
17,6,player,586.0,548.0,600.0,578.0,0.794
17,16,player,931.0,544.0,943.0,569.0,0.775
17,21,player,905.0,597.0,931.0,626.0,0.769
17,20,referee,1400.0,390.0,1413.0,420.0,0.768
17,17,player,880.0,783.0,902.0,815.0,0.72
17,19,player,1711.0,541.0,1724.0,572.0,0.705
17,1,player,672.0,696.0,685.0,734.0,0.619
17,5,player,634.0,605.0,650.0,636.0,0.594
18,3,player,1267.0,570.0,1279.0,602.0,0.881
18,8,player,1079.0,704.0,1095.0,737.0,0.823
18,12,player,604.0,605.0,628.0,637.0,0.821
18,2,player,1087.0,614.0,1099.0,647.0,0.821
18,7,player,735.0,546.0,747.0,576.0,0.818
18,4,player,526.0,677.0,544.0,709.0,0.817
18,15,player,1038.0,507.0,1049.0,535.0,0.798
18,16,player,931.0,544.0,942.0,569.0,0.778
18,14,player,875.0,651.0,891.0,680.0,0.725
18,19,player,1711.0,538.0,1724.0,571.0,0.705
18,5,player,633.0,607.0,651.0,635.0,0.704
18,6,player,586.0,548.0,599.0,577.0,0.704
18,21,player,910.0,597.0,932.0,625.0,0.697
18,17,player,877.0,782.0,902.0,814.0,0.68
18,20,referee,1402.0,392.0,1414.0,420.0,0.617
19,3,player,1266.0,571.0,1278.0,602.0,0.885
19,2,player,1084.0,615.0,1099.0,648.0,0.82
19,12,player,604.0,605.0,626.0,637.0,0.813
19,8,player,1078.0,705.0,1094.0,738.0,0.812
19,7,player,735.0,546.0,747.0,576.0,0.806
19,4,player,526.0,677.0,543.0,709.0,0.805
19,16,player,930.0,544.0,941.0,570.0,0.791
19,15,player,1038.0,507.0,1048.0,535.0,0.776
19,5,player,633.0,608.0,650.0,637.0,0.762
19,17,player,874.0,783.0,899.0,813.0,0.728
19,22,player,895.0,618.0,908.0,645.0,0.697
19,14,player,873.0,654.0,890.0,679.0,0.676
19,21,player,915.0,598.0,932.0,624.0,0.656
19,6,player,587.0,548.0,599.0,577.0,0.596
20,3,player,1266.0,572.0,1277.0,603.0,0.89
20,2,player,1082.0,614.0,1099.0,648.0,0.835
20,12,player,604.0,605.0,626.0,637.0,0.812
20,7,player,735.0,546.0,747.0,576.0,0.811
20,17,player,869.0,782.0,895.0,812.0,0.797
20,15,player,1038.0,507.0,1048.0,535.0,0.793
20,8,player,1077.0,705.0,1093.0,738.0,0.779
20,22,player,892.0,618.0,906.0,646.0,0.757
20,4,player,525.0,676.0,542.0,709.0,0.743
20,16,player,929.0,543.0,940.0,569.0,0.709
20,5,player,632.0,610.0,649.0,637.0,0.709
20,14,player,869.0,655.0,888.0,678.0,0.673
20,19,player,1707.0,539.0,1724.0,571.0,0.655
20,21,player,919.0,598.0,932.0,623.0,0.599
21,3,player,1265.0,573.0,1277.0,603.0,0.891
21,2,player,1082.0,614.0,1097.0,648.0,0.854
21,7,player,735.0,546.0,748.0,576.0,0.85
21,14,player,863.0,653.0,889.0,681.0,0.835
21,12,player,605.0,606.0,626.0,637.0,0.801
21,5,player,631.0,610.0,650.0,637.0,0.793
21,15,player,1038.0,508.0,1048.0,536.0,0.778
21,8,player,1078.0,705.0,1092.0,737.0,0.769
21,22,player,891.0,617.0,905.0,646.0,0.746
21,21,player,922.0,597.0,933.0,623.0,0.719
21,17,player,865.0,782.0,891.0,812.0,0.717
21,19,player,1705.0,540.0,1724.0,571.0,0.701
21,16,player,928.0,543.0,939.0,570.0,0.699
22,3,player,1265.0,573.0,1276.0,605.0,0.887
22,14,player,859.0,654.0,886.0,684.0,0.871
22,7,player,736.0,546.0,749.0,575.0,0.87
22,2,player,1081.0,615.0,1096.0,648.0,0.851
22,12,player,605.0,606.0,625.0,637.0,0.806
22,8,player,1077.0,707.0,1091.0,737.0,0.794
22,15,player,1037.0,508.0,1048.0,535.0,0.788
22,17,player,862.0,783.0,886.0,814.0,0.787
22,5,player,631.0,610.0,649.0,638.0,0.786
22,6,player,590.0,549.0,602.0,578.0,0.754
22,19,player,1704.0,541.0,1724.0,571.0,0.721
22,22,player,891.0,617.0,905.0,647.0,0.712
22,20,referee,1409.0,387.0,1421.0,416.0,0.707
22,21,player,922.0,595.0,935.0,626.0,0.573
23,3,player,1265.0,573.0,1277.0,604.0,0.887
23,7,player,736.0,546.0,749.0,576.0,0.872
23,8,player,1076.0,705.0,1089.0,737.0,0.857
23,2,player,1081.0,616.0,1096.0,648.0,0.851
23,14,player,857.0,655.0,881.0,685.0,0.851
23,12,player,607.0,606.0,625.0,638.0,0.803
23,6,player,590.0,549.0,603.0,578.0,0.792
23,15,player,1037.0,508.0,1048.0,536.0,0.781
23,5,player,630.0,611.0,649.0,639.0,0.767
23,19,player,1703.0,538.0,1723.0,571.0,0.725
23,22,player,889.0,617.0,904.0,646.0,0.693
23,17,player,858.0,784.0,879.0,814.0,0.556
23,20,referee,1410.0,388.0,1423.0,415.0,0.545
24,3,player,1265.0,574.0,1276.0,606.0,0.885
24,7,player,736.0,547.0,749.0,576.0,0.873
24,8,player,1075.0,706.0,1089.0,737.0,0.869
24,12,player,607.0,606.0,626.0,638.0,0.792
24,5,player,630.0,613.0,647.0,639.0,0.779
24,6,player,591.0,549.0,603.0,578.0,0.753
24,15,player,1036.0,509.0,1047.0,534.0,0.741
24,2,player,1080.0,614.0,1093.0,648.0,0.735
24,19,player,1703.0,538.0,1723.0,572.0,0.726
24,22,player,889.0,617.0,903.0,646.0,0.705
24,20,referee,1413.0,387.0,1425.0,415.0,0.622
25,3,player,1264.0,574.0,1276.0,607.0,0.886
25,7,player,736.0,547.0,749.0,576.0,0.876
25,8,player,1073.0,706.0,1087.0,736.0,0.856
25,6,player,591.0,550.0,604.0,577.0,0.791
25,5,player,621.0,611.0,645.0,639.0,0.791
25,19,player,1701.0,539.0,1721.0,571.0,0.733
25,15,player,1036.0,508.0,1046.0,532.0,0.655
25,17,player,850.0,783.0,867.0,812.0,0.608
25,22,player,888.0,616.0,902.0,645.0,0.607
25,2,player,1079.0,615.0,1093.0,649.0,0.597
26,3,player,1264.0,575.0,1276.0,607.0,0.88
26,7,player,737.0,548.0,750.0,577.0,0.879
26,6,player,592.0,550.0,606.0,577.0,0.855
26,5,player,610.0,610.0,643.0,640.0,0.831
26,8,player,1072.0,707.0,1086.0,736.0,0.817
26,17,player,844.0,782.0,869.0,813.0,0.775
26,14,player,850.0,656.0,866.0,684.0,0.734
26,19,player,1701.0,540.0,1721.0,571.0,0.717
26,23,player,922.0,491.0,933.0,517.0,0.698
26,2,player,1079.0,617.0,1090.0,649.0,0.692
26,15,player,1035.0,507.0,1046.0,531.0,0.607
27,3,player,1264.0,575.0,1276.0,608.0,0.881
27,6,player,592.0,549.0,609.0,577.0,0.879
27,7,player,737.0,548.0,750.0,577.0,0.872
